category,gov,district,pcode,agency,activity
WASH,Erbil,Erbil,iq11071,RI,Water Tankering
WASH,Ninewa,Telafar,iq15098,ICRC,Distributing Jerry Cans
WASH,Ninewa,Telafar,iq15098,ICRC,Distributing Hygiene Kits
WASH,Ninewa,Telafar,iq15098,ICRC,Distributing Buckets
WASH,Erbil,Erbil,iq11071,NRC,Water Tankering
WASH,Erbil,Erbil,iq11071,NRC,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,NRC,Distributing Garbage Containers
WASH,Erbil,Erbil,iq11071,ACTED,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ICRC,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,NRC,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,PWJ,Distributing Bottled Water
WASH,Erbil,Erbil,iq11071,ACTED,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,NRC,Distributing Buckets
WASH,Erbil,Erbil,iq11071,NRC,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,NRC,Supply & Install Mobile Showers
WASH,Ninewa,Akre,iq15005,PWJ,Distributing Bottled Water
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Buckets
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Family Water Kits
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Jerry Cans
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Soap / Toilet Bars
WASH,Ninewa,Shikhan,iq15053,DMC,Supply & Install Mobile Latrines
WASH,Ninewa,Shikhan,iq15053,DMC,Supply & Install Water Tanks
WASH,Ninewa,Sinjar,iq15093,IRD,Distributing Bottled Water
WASH,Ninewa,Sinjar,iq15093,IOM Convoy,Distributing Bottled Water
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,NRC,Supply & Install Mobile Latrines
WASH,Ninewa,Telafar,iq15098,DRC,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,ICRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ICRC,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,NRC,Supply & Install Water Tanks
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,IOM Convoy,Distributing Bottled Water
WASH,Ninewa,Shikhan,iq15053,IOM Convoy,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,ICRC,Distributing Buckets
WASH,Ninewa,Akre,iq15005,IOM Convoy,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,ICRC,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,IOM Convoy,Distributing Jerry Cans
WASH,Ninewa,Akre,iq15005,ICRC,Distributing Jerry Cans
WASH,Ninewa,Sinjar,iq15093,UNHCR,Distributing Hygiene Kits
WASH,Ninewa,Sinjar,iq15093,Qandil,Distributing Hygiene Kits
WASH,Ninewa,Telafar,iq15098,DMC,Distributing Hygiene Kits
WASH,Dahuk,Dahuk,iq08069,DMC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ICRC,Distributing Buckets
WASH,Ninewa,Tilkaif,iq15100,ICRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ICRC,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Ninewa,Sinjar,iq15093,UNHCR,Distributing Jerry Cans
WASH,Ninewa,Shikhan,iq15053,Qandil,Distributing Hygiene Kits
WASH,Sulaymaniyah,Sulaymaniya,iq05095,YAO,Distributing Hygiene Kits
WASH,Ninewa,Sinjar,iq15093,IRC,Supply & Install Water Tanks
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,IOM Convoy,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Buckets
WASH,Ninewa,Sinjar,iq15093,IOM Convoy,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,IOM Convoy,Distributing Hygiene Kits
WASH,Ninewa,Sinjar,iq15093,IOM Convoy,Distributing Jerry Cans
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,IOM Convoy,Distributing Jerry Cans
WASH,Ninewa,Akre,iq15005,SFL,Water Tankering
WASH,Ninewa,Shikhan,iq15053,IOM Convoy,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,IOM Convoy,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,UNICEF,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,SFL,Water Tankering
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Buckets
WASH,Ninewa,Akre,iq15005,ACTED,Distributing Buckets
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,ACTED,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,IOM Convoy,Distributing Hygiene Kits
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Jerry Cans
WASH,Ninewa,Akre,iq15005,ACTED,Distributing Jerry Cans
WASH,Ninewa,Shikhan,iq15053,IOM Convoy,Distributing Jerry Cans
WASH,Diyala,Khanaqin,iq10077,Ofiq,Supply & Install Mobile Latrines
WASH,Diyala,Khanaqin,iq10077,Ofiq,Supply & Install Mobile Showers
WASH,Diyala,Khanaqin,iq10077,Ofiq,Supply & Install Water Tanks
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Garbage Containers
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Hygiene Kits
WASH,Dahuk,Zakho,iq08102,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,Ankawa Mayor,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,RI,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,RI,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,RI,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,RI,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,RI,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,RI,Distributing Hygiene Kits
WASH,Sulaymaniyah,Kalar,iq05075,IOM Convoy,Distributing Hygiene Kits
WASH,Sulaymaniyah,Kalar,iq05075,IOM Convoy,Distributing Jerry Cans
WASH,Ninewa,Tilkaif,iq15100,ACTED,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACTED,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,RI,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,RI,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,RI,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Sulaymaniyah,Chamchamal,iq05065,SCI,Distributing Hygiene Vouchers
WASH,Sulaymaniyah,Chamchamal,iq05065,SCI,Distributing Hygiene Vouchers
WASH,Diyala,Khanaqin,iq10077,SCI,Distributing Hygiene Kits
WASH,Ninewa,Telafar,iq15098,SCI,Distributing Bottled Water
WASH,Dahuk,Zakho,iq08102,SCI,Distributing Hygiene Kits
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Hygiene Kits
WASH,Dahuk,Amedi,iq08058,NRC,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Buckets
WASH,Erbil,Erbil,iq11071,UNICEF,Distributing Bottled Water
WASH,Erbil,Erbil,iq11071,UNICEF,Distributing Cleaning Materials
WASH,Erbil,Erbil,iq11071,UNICEF,Supply Aqua-Tabs
WASH,Erbil,Erbil,iq11071,UNICEF,Distributing Garbage Containers
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,ACF,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,ACF,Distributing Jerry Cans
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,UNICEF,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,ACF,Distributing Soap / Toilet Bars
WASH,Ninewa,Shikhan,iq15053,ACF,Supply & Install Mobile Latrines
WASH,Ninewa,Shikhan,iq15053,ACF,Supply & Install Mobile Showers
WASH,Erbil,Erbil,iq11071,KURDS,Water Tankering
WASH,Erbil,Erbil,iq11071,UNICEF,Distributing Soap / Toilet Bars
WASH,Erbil,Erbil,iq11071,ACTED,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,QRC,Distributing Bottled Water
WASH,Erbil,Erbil,iq11071,WEO,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Buckets
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Jerry Cans
WASH,Erbil,Erbil,iq11071,QRC,Water Tankering
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Hygiene Kits
WASH,Kirkuk,Kirkuk,iq13079,SCi,Distributing Hygiene Kits
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Hygiene Kits
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Hygiene Kits
WASH,Dahuk,Sumel,iq08096,NRC,Distributing Bottled Water
WASH,Ninewa,Sinjar,iq15093,UNICEF & UNFPA Convoy,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Buckets
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Hygiene Kits
WASH,Ninewa,Sinjar,iq15093,UNICEF & UNFPA Convoy,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Jerry Cans
WASH,Ninewa,Sinjar,iq15093,UNICEF & UNFPA Convoy,Distributing Jerry Cans
WASH,Ninewa,Tilkaif,iq15100,PAO,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Dahuk,Sumel,iq08096,NRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Dahuk,Zakho,iq08102,SCI,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,PAO,Distributing Hygiene Kits
WASH,Dahuk,Dahuk,iq08069,Qandil,Distributing Hygiene Kits
WASH,Dahuk,Dahuk,iq08069,Qandil,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,ICRC,Distributing Buckets
WASH,Ninewa,Shikhan,iq15053,NRC,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,ICRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,ICRC,Distributing Jerry Cans
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Sinjar,iq15093,IRW,Distributing Bottled Water
WASH,Ninewa,Shikhan,iq15053,DMC,Distributing Jerry Cans
WASH,Ninewa,Sinjar,iq15093,IRW,Distributing Soap / Toilet Bars
WASH,Ninewa,Sinjar,iq15093,IRW,Supply & Install Mobile Latrines
WASH,Ninewa,Sinjar,iq15093,IRW,Supply & Install Mobile Showers
WASH,Ninewa,Sinjar,iq15093,IRW,Supply & Install Water Bladders
WASH,Ninewa,Shikhan,iq15053,DMC,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,SCI,Distributing Hygiene Kits
WASH,Ninewa,Shikhan,iq15053,ACF,Hygiene Promotion 
WASH,Ninewa,Shikhan,iq15053,ACF,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Erbil,iq11071,NRC,Water Tankering
WASH,Ninewa,Sinjar,iq15093,UNICEF,Supply Aqua-Tabs
WASH,Ninewa,Sinjar,iq15093,UNICEF,Supply Aqua-Tabs
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Ninewa,Sinjar,iq15093,UNICEF,Distributing Hand Sanitizer 
WASH,Ninewa,Sinjar,iq15093,UNICEF,Supply Pool Testers
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Baby Kits
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Dahuk,Amedi,iq08058,NRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Sinjar,iq15093,IRW,Water Tankering
WASH,Erbil,Erbil,iq11071,Barazani Foundation,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,NRC,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Sulaymaniyah,Darbandihkan,,SCI,Distributing Hygiene Vouchers
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Hygiene Kits
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Baby Kits
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Hygiene Kits
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Baby Kits
WASH,Erbil,Erbil,iq11071,Barazani Foundation,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Erbil,Erbil,iq11071,ERC,Distributing Hygiene Kits
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Dahuk,Amedi,iq08058,SCI,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Erbil,Erbil,iq11071,NRC,Distributing Bottled Water
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,Archbishop Team,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Dahuk,Amedi,iq08058,SCI,Distributing Hygiene Kits
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,IOM Convoy,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Erbil,Erbil,iq11071,Barazani Foundation,Distributing Bottled Water
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Erbil,iq11071,Barazani Foundation,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,ERC,Distributing Hygiene Kits
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Buckets
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Hygiene Kits
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Jerry Cans
WASH,Diyala,Khanaqin,iq10077,Ofiq,Supply & Install Water Tanks
WASH,Ninewa,Shikhan,iq15053,ACF,Supply & Install Water Tanks
WASH,Diyala,Khanaqin,iq10077,Ofiq,Distributing Garbage Containers
WASH,Diyala,Khanaqin,iq10077,Ofiq,Supply Tap Stands
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Shikhan,iq15053,PWJ,Disributing air coolers
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Bottled Water
WASH,Ninewa,Telafar,iq15098,Zummer Mayor Office,Distributing Buckets
WASH,Erbil,Erbil,iq11071,NRC,Distributing Bottled Water
WASH,Ninewa,Telafar,iq15098,Zummer Mayor Office,Distributing Hygiene Kits
WASH,Erbil,Erbil,iq11071,NRC,Distributing Hygiene Kits
WASH,Ninewa,Telafar,iq15098,Zummer Mayor Office,Distributing Jerry Cans
WASH,Ninewa,Telafar,iq15098,Zummer DoW,Supply & Install Water Tanks
WASH,Ninewa,Telafar,iq15098,Zummer DoW,Supply Aqua-Tabs
WASH,Ninewa,Telafar,iq15098,Zummer DoW,Distributing Family Water Kits
WASH,Ninewa,Telafar,iq15098,Zummer DoW,Supply Pool Testers
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Supply & Install Water Tanks
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Erbil,iq11071,NRC,Distributing Jerry Cans
WASH,Ninewa,Tilkaif,iq15100,ACF,Water Tankering
WASH,Ninewa,Tilkaif,iq15100,Department of Agriculture,Water Tankering
WASH,Ninewa,Shikhan,iq15053,ACTED,Distributing Hygiene Kits
WASH,Ninewa,Hamdaniya,iq15017,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Ninewa,Akre,iq15005,RI,Water Tankering
WASH,Erbil,Shaqlawa,iq11089,SCI,Distributing Bottled Water
WASH,Erbil,Erbil,iq11071,NRC,Supply & Install Water Tanks
WASH,Erbil,Erbil,iq11071,Barazani Foundation,Distributing Bottled Water
WASH,Ninewa,Shikhan,iq15053,PWJ,Disributing air coolers
WASH,Dahuk,Sumel,iq08096,SCI,Distributing Hygiene Kits
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Hygiene Kits
WASH,Sulaymaniyah,Sulaymaniya,iq05095,SCI,Distributing Hygiene Kits
WASH,Dahuk,Sumel,iq08096,SCI,Distributing Hygiene Kits
WASH,Dahuk,Sumel,iq08096,SCI,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Hygiene Kits
WASH,Ninewa,Tilkaif,iq15100,Archbishop Team,Distributing Jerry Cans
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Bottled Water
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Buckets
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Cleaning Materials
WASH,Ninewa,Sinjar,iq15093,IRW,Distributing Cleaning Materials
WASH,Kirkuk,Kirkuk,iq13079,SCI,Supply Aqua-Tabs
WASH,Ninewa,Sinjar,iq15093,IRW,Supply Aqua-Tabs
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Hygiene Kits
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Jerry Cans
WASH,Kirkuk,Kirkuk,iq13079,SCI,Distributing Soap / Toilet Bars
