IDP_R Governorate-7,IDP_R District-7,IDP_R Agency-7,IDP_R Activities-7,Cluster,Status
Erbil,Erbil,Rwanga Foundation,Food,Food Security,Completed
Erbil,Erbil,Rwanga Foundation,Food,Food Security,Completed
Erbil,Erbil,Rwanga Foundation,Food,Food Security,Completed
Erbil,Erbil,Rwanga Foundation,Food,Food Security,Completed
Erbil,Makhmur,Rwanga Foundation,Food,Food Security,Completed
Ninewa,Akre,SALT,Food,Food Security,Completed
Ninewa,Akre,SALT,Food,Food Security,Completed
Dahuk,Dahuk,SALT,Food,Food Security,Completed
Dahuk,Dahuk,SALT,Food,Food Security,Completed
Dahuk,Dahuk,SALT,Food,Food Security,Completed
Erbil,Erbil,SALT,Food,Food Security,Completed
Ninewa,Hamdaniya,SALT,Food,Food Security,Completed
Ninewa,Hamdaniya,SALT,Food,Food Security,Completed
Ninewa,Hamdaniya,SALT,Food,Food Security,Completed
Ninewa,Hamdaniya,SALT,Food,Food Security,Completed
Ninewa,Shikhan,SALT,Food,Food Security,Completed
Ninewa,Shikhan,SALT,Food,Food Security,Completed
Dahuk,Sumel,SALT,Food,Food Security,Completed
Ninewa,Tilkaif,SALT,Food,Food Security,Completed
Ninewa,Tilkaif,SALT,Food,Food Security,Completed
Ninewa,Tilkaif,SALT,Food,Food Security,Completed
Ninewa,Tilkaif,SALT,Food,Food Security,Completed
Ninewa,Tilkaif,SALT,Food,Food Security,Completed
Dahuk,Zakho,SALT,Food,Food Security,Completed
Dahuk,Zakho,SALT,Food,Food Security,Completed
Kirkuk,Kirkuk,SAVE,Food,Food Security,Ongoing
Basrah,Abu Al-Khaseeb,SAVE,Food,Food Security,
Missan,Ali Al-Gharbi,SAVE,Food,Food Security,
Missan,Amara,SAVE,Food,Food Security,
Basrah,Basrah,SAVE,Food,Food Security,
Sulaymaniyah,Chamchamal,SAVE,Voucher,Food Security,Completed
Sulaymaniyah,Chamchamal,SAVE,Voucher,Food Security,Completed
Sulaymaniyah,Chamchamal,SAVE,Food,Food Security,Completed
Sulaymaniyah,Chamchamal,SAVE,Food,Food Security,Completed
Thi-Qar,Chibayish,SAVE,Food,Food Security,
Sulaymaniyah,Darbandihkan,SAVE,Voucher,Food Security,Completed
Erbil,Erbil,SAVE,Food,Food Security,Completed
Erbil,Erbil,SAVE,Food,Food Security,Completed
Erbil,Erbil,SAVE,Food,Food Security,Completed
Basrah,Fao,SAVE,Food,Food Security,
Missan,Kahla,SAVE,Food,Food Security,
Sulaymaniyah,Kalar,SAVE,Food,Food Security,Completed
Diyala,Khanaqin,SAVE,Food,Food Security,Ongoing
Missan,Maimouna,SAVE,Food,Food Security,
Missan,Mejar Al-Kabi,SAVE,Food,Food Security,
Basrah,Midaina,SAVE,Food,Food Security,
Thi-Qar,Nassriya,SAVE,Food,Food Security,
Missan,Qal'at Saleh,SAVE,Food,Food Security,
Basrah,Qurna,SAVE,Food,Food Security,
Thi-Qar,Rifa'i,SAVE,Food,Food Security,
Erbil,Shaqlawa,SAVE,Voucher,Food Security,Completed
Thi-Qar,Shatra,SAVE,Food,Food Security,
Sulaymaniyah,Sulaymaniya,SAVE,Food,Food Security,Completed
Thi-Qar,Suq Al-Shoyokh,SAVE,Food,Food Security,
Dohuk,Sumel,SAVE,Food,Food Security,Completed
Sulaymaniyah,Chamchamal,SAVE,Food,Food Security,Completed
Basrah,Zubair,SAVE,Food,Food Security,
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Erbil,Erbil,WFP,Food,Food Security,Planned (funded)
Erbil,Makhmur,WFP,Food,Food Security,Planned (funded)
Ninewa,Shikhan,WFP,Food,Food Security,Planned (funded)
Dahuk,Sumel,WFP,Food,Food Security,Planned (funded)
Dahuk,Zakho,WFP,Food,Food Security,Planned (funded)
Sulaymaniyah,Darbandihkan,WFP,Food,Food Security,Ongoing
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Ninewa,Hamdaniya,WFP,Food,Food Security,
Sulaymaniyah,Kalar,WFP,Food,Food Security,Ongoing
Ninewa,Shikhan,WFP,Food,Food Security,Ongoing
Ninewa,Tilkaif,WFP,Food,Food Security,Ongoing
Dahuk,Zakho,WFP,Food,Food Security,Ongoing
Kirkuk,Kirkuk,WFP,Food,Food Security,Ongoing
Kirkuk,Kirkuk,WFP,Food,Food Security,Planned (funded)
Kirkuk,Kirkuk,WFP,Food,Food Security,Planned (funded)
Basrah,Abu Al-Khaseeb,ISHO,Food,Food Security,
Basrah,Basrah,ISHO,Food,Food Security,
Basrah,Fao,ISHO,Food,Food Security,
Basrah,Midaina,ISHO,Food,Food Security,
Basrah,Qurna,ISHO,Food,Food Security,
Basrah,Shatt Al-Arab,ISHO,Food,Food Security,
Najaf,Najaf,WFP,Food,Food Security,Ongoing
Anbar,Heet,WFP,Food,Food Security,Planned (funded)
Anbar,Al-Khalidiya,WFP,Food,Food Security,Ongoing
Anbar,Heet,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Kalar,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Kifri,WFP,Food,Food Security,Ongoing
Najaf,Kut,WFP,Food,Food Security,Ongoing
Najaf,Najaf,WFP,Food,Food Security,Ongoing
Baghdad,Resafa,WFP,Food,Food Security,Planned (funded)
Ninewa,Sinjar,WFP,Food,Food Security,Ongoing
Ninewa,Sinjar,WFP,Food,Food Security,Ongoing
Wassit,Na'maniya,WFP,Food,Food Security,Ongoing
Wassit,Na'maniya,WFP,Food,Food Security,Ongoing
Salah al-Din,Tooz,WFP,Food,Food Security,Ongoing
Najaf,Najaf Centre,WFP,Access to Food,Food Security,
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Babylon,Hilla,WFP,Access to Food,Food Security,Completed
Babylon,Hashmiya,WFP,Access to Food,Food Security,Completed
Babylon,Mahawil,WFP,Access to Food,Food Security,Completed
Babylon,Abou garaq,WFP,Food,Food Security,Completed
Babylon,Al-Qassim,WFP,Food,Food Security,Completed
Babylon,Kefil,WFP,Food,Food Security,Completed
Babylon,Al-Iskandariya,WFP,Food,Food Security,Completed
Babylon,Mussaib,WFP,Food,Food Security,Completed
Babylon,Mahawil,WFP,Food,Food Security,Ongoing
Dahuk,Amedi,WFP,Food,Food Security,Planned (funded)
Erbil,Erbil,WFP,,Food Security,Ongoing
Kerbala,Ain Al-Tamur,WFP,Food,Food Security,
Kerbala,Hindiya,WFP,Food,Food Security,
Kerbala,Kerbala,WFP,Food,Food Security,
Najaf,Kufa,WFP,Food,Food Security,
Najaf,Manathera,WFP,Food,Food Security,
Ninewa,Hamdaniya,UPP,Food,Food Security,Completed
Erbil,Erbil,UPP,Food,Food Security,Completed
Erbil,Erbil,UPP,Food,Food Security,Completed
Ninewa,Hamdaniya,UPP,Food,Food Security,Completed
Ninewa,Hamdaniya,UPP,Food,Food Security,Completed
Dohuk,Dohuk,UPP,Food,Food Security,Completed
Dohuk,Zakho,UPP,Food,Food Security,Completed
Dohuk,Zakho,UPP,Food,Food Security,Completed
Dohuk,,UPP,Food,Food Security,Completed
Ninewa,Telafar,DRC,Food,Food Security,Completed
Ninewa,Telafar,DRC,Food,Food Security,Completed
Duhok,,DRC,Food,Food Security,ongoing
Thi-Qar,Suq Al Shuyoukh,WFP,Food,Food Security,Completed
Thi-Qar,Al Chibayesh district,WFP,Food,Food Security,Completed
Thi-Qar,Nassirya,WFP,Food,Food Security,Completed
Thi-Qar,Al-Shatra,WFP,Food,Food Security,Completed
Thi-Qar,Al-Rifa'ai,WFP,Food,Food Security,Completed
Thi-Qar,Al-Fajir,WFP,Food,Food Security,Completed
Muthanna,Rumaitha,WFP,Food,Food Security,Completed
Muthanna,Al -Khaider,WFP,Food,Food Security,Completed
Muthanna,Al  Warka'a,WFP,Food,Food Security,Completed
Muthanna,Simawa Centre,WFP,Food,Food Security,Completed
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Bahari Tazer,WFP,Food,Food Security,Completed
Diyala,Alyawa,WFP,Food,Food Security,Ongoing
Diyala,Nawdwman/Khaneqeen,WFP,,Food Security,
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,
Diyala,Khanaqin,WFP,Food,Food Security,
Diyala,Khanaqin,WFP,Food,Food Security,
Diyala,Khanaqin,WFP,Food,Food Security,
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Diyala,Khanaqin,WFP,Food,Food Security,Ongoing
Erbil,Ainkawa,WFP,Food,Food Security,Completed
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Erbil,Soran,WFP,Food,Food Security,Ongoing
Erbil,Ainkawa,WFP,Food,Food Security,Completed
Erbil,Shaqlawa,WFP,Food,Food Security,Completed
Erbil,Sargarad,WFP,Food,Food Security,Completed
Erbil,Tobzawa,WFP,Food,Food Security,Completed
Erbil,Khabat,WFP,Food,Food Security,Completed
Erbil,Ainkawa Kindergarten ,WFP,Food,Food Security,Completed
Erbil,AinKawa - Mall & Kindergarten ,WFP,Food,Food Security,Completed
Erbil,Koya,WFP,Food,Food Security,Completed
Erbil,MOA Camp/Ainkawa,WFP,Food,Food Security,Completed
Erbil,MOA Camp/Ainkawa,WFP,Food,Food Security,Completed
Erbil,Erbil,WFP,Food,Food Security,Completed
Erbil,Ainkawa,WFP,Food,Food Security,Completed
Erbil,Erbil,WFP,Food,Food Security,Completed
Najaf,Najaf,WFP,Food,Food Security,Ongoing
Dohuk,Samel,WFP,Food,Food Security,Ongoing
Dahuk,Zakho,WFP,Food,Food Security,Ongoing
Dahuk,Semel,WFP,Food,Food Security,Completed
Dahuk,Amedi,WFP,Food,Food Security,Ongoing
Dahuk,Dahuk,WFP,Food,Food Security,Ongoing
Dahuk,Dahuk,WFP,Food,Food Security,Ongoing
Ninewa,Akre,WFP,Food,Food Security,Ongoing
ninewa,Hamdaniya,WFP,Food,Food Security,Completed
Ninewa,Hamdaniya,WFP,Food,Food Security,
Ninewa,Garmawa Camp,WFP,Access to Food,Food Security,Completed
Ninewa,Garmawa Camp,WFP,Access to Food,Food Security,Completed
Ninewa,Shikhan,WFP,Food,Food Security,Ongoing
Ninewa,Telafar,WFP,Food,Food Security,Ongoing
Ninewa,Hamdaniya,WFP,Food,Food Security,Completed
Sulaymaniyah,Dokan,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Surdash,WFP,Food,Food Security,Completed
Sulaymaniyah,Halabja,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Sulaymaniya,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Sulaymaniya,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Sulaymaniya,WFP,Food,Food Security,Planned (funded)
Sulaymaniyah,Hajiawa,WFP,Food,Food Security,Completed
Sulaymaniyah,Sangasar,WFP,Food,Food Security,Completed
Sulaymaniyah,Bayinjan,WFP,Food,Food Security,Completed
Sulaymaniyah,Darbandikhan,WFP,Food,Food Security,Completed
Sulaymaniyah,Dukan,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Bardasour,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Dukan,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Chamchamal,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Chamchamal,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Chamchamal,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Sulaymaniya,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Sulaymaniya,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Bazyan,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Said-Sadiq,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Kaizakahn,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Raniya,WFP,Food,Food Security,Ongoing
Sulaymaniyah,tanjaro,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Rapin,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Qaradakh,WFP,Food,Food Security,Ongoing
Sulaymaniyah,salehagha,WFP,Food,Food Security,Ongoing
Sulaymaniyah,Dukan,WFP,Food,Food Security,Completed
Sulaymaniyah,Arbat,WFP,Food,Food Security,Completed
Sulaymaniyah,Kalar,WFP,Food,Food Security,Completed
Sulaymaniyah,Sulaymaniya,WFP,Food,Food Security,Completed
Sulaymaniyah,Halabja,WFP,Food,Food Security,Completed
Sulaymaniyah,,WFP,Food,Food Security,Completed
Sulaymaniyah,Takiah,WFP,Food,Food Security,Completed
Sulaymaniyah,Kalar -Kifri,WFP,Food,Food Security,Completed
Sulaymaniyah,Sachanar,WFP,Food,Food Security,Completed
Kirkuk,Kirkuk,WFP,Food,Food Security,Ongoing
Kirkuk,Kirkuk,SIDA,Food,Food Security,Ongoing
Ninewa,Tilkaif,WFP,Food,Food Security,Completed
Duhok,Amadi,WFP,Food,Food Security,Completed
Duhok,Zakho,WFP,Food,Food Security,Completed
Duhok,Zakho,WFP,Food,Food Security,Completed
Duhok,Rzgaree,WFP,Food,Food Security,Completed
Duhok,kharababk,WFP,Food,Food Security,Completed
Duhok,Kandala,WFP,Food,Food Security,Completed
Duhok,Batufa,WFP,Food,Food Security,Completed
Duhok,Merga Sora,WFP,Food,Food Security,Completed
Duhok,Bedar,WFP,Food,Food Security,Completed
Duhok,Tilkabar,WFP,Food,Food Security,Completed
Ninewa,Tilkaif,WFP,Food,Food Security,Completed
Erbil,Erbil,WFP,Food,Food Security,Completed
Erbil,Shaqlawa,WFP,Food,Food Security,Ongoing
Erbil,Shaqlawa,WFP,Food,Food Security,Ongoing
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Erbil,Khabat,WFP,Food,Food Security,Ongoing
Duhok,Bardarash ,WFP,Food,Food Security,Completed
Duhok,Zaweeta,WFP,Food,Food Security,Completed
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Amedi,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,,Food Security,
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,,Food Security,
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Duhok,Dukan,WFP,Food,Food Security,Ongoing
Erbil,Erbil,WFP,Food,Food Security,Completed
Erbil,Erbil,WFP,Food,Food Security,Ongoing
Erbil,Erbil,Rise Foundation,Food,Food Security,Completed
Erbil,Erbil,Rise Foundation,Food,Food Security,Completed
Erbil,Ainkawa,Rise Foundation,Food,Food Security,Completed
Erbil,Ainkawa,Rise Foundation,Food,Food Security,Completed
Erbil,Ainkawa,Rise Foundation,Food,Food Security,Completed
Erbil,Ainkawa,Rise Foundation,Food,Food Security,Completed
Erbil,Ainkawa,Rise Foundation,Food,Food Security,Completed
Ninewa,Telafar,DRC,Food,Food Security,Completed
Ninewa,Telafar,DRC,Food,Food Security,Completed
Duhok,,DRC,Food,Food Security,ongoing
Duhok,Sumel,DRC,Food,Food Security,Completed
Dohuk,Zakho,PEACE WINDS JAPAN (PWJ),Food,Food Security,One-off
Dohuk,Zakho,PEACE WINDS JAPAN (PWJ),Food,Food Security,One-off
Dohuk,Dohuk City,PEACE WINDS JAPAN (PWJ),Food,Food Security,One-off
Dohuk,Dohuk City,PEACE WINDS JAPAN (PWJ),Food,Food Security,One-off
Dohuk,TBD,PEACE WINDS JAPAN (PWJ),Food,Food Security,One-off
Dohuk,Zakho,PEACE WINDS JAPAN (PWJ),Food,Food Security,Completed
Dohuk,Bardarash,PEACE WINDS JAPAN (PWJ),Food,Food Security,Completed
Kerbala,Kernala centre,MH,Food,Food Security,Completed
Kerbala,Ain Tamur,MH,Food,Food Security,Completed
Kerbala,Hindiya ,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Babil,Hilla,MH,Food,Food Security,Completed
Erbil,Khabat,NPA,Food,Food Security,Ongoing
Diala,Khanaqin,NPA,Food,Food Security,Ongoing
Dahuk,Semel,NPA,Food,Food Security,Ongoing
Salahaddin,Duze-Khurmatu,NPA,Food,Food Security,Ongoing
Sulaimaniyah,Chmachamal,NPA,Food,Food Security,Ongoing
Nainawa/Musel,Basheeqa,NPA,Food,Food Security,Ongoing
Sulaimaniyah,Chamchamal,Reach,Food,Food Security,Completed
Sulaimaniyah,Chamchamal,Reach,Food,Food Security,Completed
Dahuk,Dahuk,Reach,Food,Food Security,
Dahuk,Dahuk,Reach,Food,Food Security,Completed
Dahuk,Dahuk,Reach,Food,Food Security,Completed
Sulaymaniyah,Chamchamal,Reach,Food,Food Security,Completed
Sulaymaniyah,Chamchamal,Reach,Food,Food Security,Completed
Dahuk,Dahuk,Reach,Food,Food Security,Completed
Sulaymaniyah,Sulaymaniyah,Reach,Food,Food Security,Completed
Dahuk,Dahuk City,Deutsche Welthungerhilfe e.V.,Food,Food Security,Ongoing
Erbil,Erbil City,Deutsche Welthungerhilfe e.V.,Food,Food Security,Ongoing
Dahuk,Zakho City,Deutsche Welthungerhilfe e.V.,Food,Food Security,Ongoing
Erbil,Shaqlawa,Co. & Org. ,Food,Food Security,Completed
Erbil,Bahrka,Co. & Org. ,Food,Food Security,Planned (funded)
Erbil,Bahrka,Co. & Org. ,Food,Food Security,Completed
Erbil,Erbil,Co. & Org. ,Food,Food Security,Completed
Erbil,Ankawa,Co. & Org. ,Food,Food Security,Completed
Suleimaniya,Arbat Camp & Churchs,Co. & Org. ,Food,Food Security,Completed
Suleimaniya,Arbat Camp & Churchs,Co. & Org. ,Food,Food Security,Completed
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
